"Date","Price","Open","High","Low","Vol.","Change %"
"04/30/2025","3,279.03","3,284.08","3,292.20","3,277.55","43.58B","-0.23%"
"04/29/2025","3,286.65","3,281.45","3,294.98","3,277.63","38.90B","-0.05%"
"04/28/2025","3,288.41","3,292.06","3,296.93","3,279.88","41.07B","-0.20%"
"04/25/2025","3,295.06","3,300.39","3,305.26","3,288.75","41.10B","-0.07%"
"04/24/2025","3,297.29","3,295.15","3,313.51","3,286.24","39.28B","0.03%"
"04/23/2025","3,296.36","3,308.15","3,312.19","3,293.06","41.16B","-0.10%"
"04/22/2025","3,299.76","3,289.17","3,311.15","3,288.33","40.32B","0.25%"
"04/21/2025","3,291.43","3,273.14","3,298.64","3,270.01","37.93B","0.45%"
"04/18/2025","3,276.73","3,270.35","3,283.09","3,262.39","35.88B","-0.11%"
"04/17/2025","3,280.34","3,261.72","3,285.92","3,258.15","38.20B","0.13%"
"04/16/2025","3,276.00","3,267.67","3,276.00","3,233.79","42.95B","0.26%"
"04/15/2025","3,267.66","3,260.69","3,268.98","3,246.34","39.67B","0.15%"
"04/14/2025","3,262.81","3,251.98","3,272.72","3,244.73","47.14B","0.76%"
"04/11/2025","3,238.23","3,219.51","3,249.85","3,211.35","47.55B","0.45%"
"04/10/2025","3,223.64","3,227.84","3,239.94","3,201.57","59.12B","1.16%"
"04/09/2025","3,186.81","3,110.01","3,186.81","3,070.08","68.48B","1.31%"
"04/08/2025","3,145.55","3,094.26","3,145.55","3,085.12","66.22B","1.58%"
"04/07/2025","3,096.58","3,193.10","3,217.78","3,040.69","66.22B","-7.34%"
"04/03/2025","3,342.01","3,319.61","3,358.43","3,319.61","40.05B","-0.24%"
"04/02/2025","3,350.13","3,344.17","3,361.13","3,343.12","35.01B","0.05%"
"04/01/2025","3,348.44","3,340.71","3,357.62","3,338.78","42.26B","0.38%"