timestamp,Open,High,Low,Close
2025-04-01,421.90,424.29,428.61,419.51
2025-04-02,422.36,423.91,426.93,420.90
2025-04-03,404.60,412.56,415.66,404.22
2025-04-04,368.86,401.16,402.08,368.44
2025-04-07,350.76,361.61,373.72,347.83
2025-04-08,347.27,360.28,365.70,347.04
2025-04-09,351.25,347.29,356.95,343.95
2025-04-10,363.21,369.54,373.58,361.38
2025-04-11,378.76,365.00,382.13,362.77
2025-04-14,387.59,382.20,388.04,378.89
2025-04-15,387.63,388.91,390.78,380.34
2025-04-16,392.39,385.72,392.76,380.67
2025-04-17,396.91,390.57,397.69,382.78
2025-04-21,396.04,395.37,402.37,393.22
2025-04-22,408.30,397.86,408.84,396.49
2025-04-23,405.56,410.70,412.77,404.16
2025-04-24,406.85,405.65,408.88,402.75
2025-04-25,405.56,405.85,409.17,396.91
2025-04-28,405.11,401.26,407.39,399.81
2025-04-29,403.70,407.01,411.07,402.13
2025-04-30,381.87,398.15,400.59,375.16