timestamp,open,high,low,close,volume
2025-04-01,3110.55,3123.36,3149.11,3100.85
2025-04-02,3133.57,3111.00,3140.36,3104.81
2025-04-03,3112.83,3134.16,3168.04,3054.19
2025-04-04,3037.36,3113.16,3137.10,3015.64
2025-04-07,2982.54,3038.02,3055.88,2956.60
2025-04-08,2983.78,2983.39,3022.84,2974.45
2025-04-09,3082.18,2984.08,3099.87,2970.01
2025-04-10,3173.92,3083.75,3176.94,3071.03
2025-04-11,3236.21,3174.14,3245.69,3174.14
2025-04-14,3209.28,3237.35,3245.84,3193.41
2025-04-15,3227.60,3210.21,3234.16,3209.36
2025-04-16,3343.22,3226.25,3345.19,3226.25
2025-04-17,3327.54,3344.41,3358.00,3283.87
2025-04-21,3424.30,3334.41,3430.93,3327.82
2025-04-22,3382.54,3421.57,3500.33,3366.74
2025-04-23,3288.26,3382.55,3386.89,3260.50
2025-04-24,3349.10,3288.43,3367.59,3287.77
2025-04-25,3319.45,3347.20,3371.15,3265.25
2025-04-28,3341.67,3328.40,3353.33,3267.81
2025-04-29,3317.18,3341.67,3349.08,3299.23
2025-04-30,3288.59,3316.92,3328.36,3267.09